candidateId,party,color
6,Grüne,#008000
17,FDP,#4169E1
40,FDP,#4169E1
41,Grüne,#008000
44,glp,#32CD32
56,SP,#FF0000
91,CVP,#FFA500
98,FDP,#4169E1
108,Grüne,#008000
149,SVP,#006400
159,Grüne,#008000
164,Grüne,#008000
188,BDP,#800020
225,CVP,#FFA500
239,FDP,#4169E1
246,glp,#32CD32
314,CVP,#FFA500
316,CVP,#FFA500
317,CVP,#FFA500
318,CVP,#FFA500
319,CVP,#FFA500
320,BDP,#800020
328,glp,#32CD32
370,FDP,#4169E1
385,glp,#32CD32
493,SP,#FF0000
494,SP,#FF0000
495,SP,#FF0000
527,CVP,#FFA500
595,FDP,#4169E1
613,Grüne,#008000
614,Grüne,#008000
643,CVP,#FFA500
649,BDP,#800020
650,SP,#FF0000
652,BDP,#800020
653,SP,#FF0000
654,SP,#FF0000
657,SVP,#006400
658,SVP,#006400
736,SP,#FF0000
743,SVP,#006400
750,CVP,#FFA500
753,Grüne,#008000
754,Grüne,#008000
760,glp,#32CD32
761,glp,#32CD32
765,Grüne,#008000
772,Grüne,#008000
791,CVP,#FFA500
792,CVP,#FFA500
795,Grüne,#008000
825,SP,#FF0000
832,SP,#FF0000
854,glp,#32CD32
874,Grüne,#008000
878,SP,#FF0000
883,SP,#FF0000
895,Grüne,#008000
903,Grüne,#008000
913,CVP,#FFA500
914,CVP,#FFA500
915,CVP,#FFA500
916,CVP,#FFA500
918,BDP,#800020
919,SP,#FF0000
920,SP,#FF0000
923,Grüne,#008000
925,FDP,#4169E1
931,SVP,#006400
951,FDP,#4169E1
954,SP,#FF0000
955,SP,#FF0000
959,SP,#FF0000
1007,Grüne,#008000
1015,Grüne,#008000
1022,Grüne,#008000
1029,glp,#32CD32
1039,CVP,#FFA500
1040,CVP,#FFA500
1041,BDP,#800020
1042,SP,#FF0000
1043,SP,#FF0000
1044,SP,#FF0000
1045,SP,#FF0000
1049,Grüne,#008000
1078,CVP,#FFA500
1079,SP,#FF0000
1087,CVP,#FFA500
1092,FDP,#4169E1
1093,Grüne,#008000
1114,FDP,#4169E1
1115,SP,#FF0000
1116,Grüne,#008000
1122,SVP,#006400
1123,FDP,#4169E1
1134,Grüne,#008000
1144,Grüne,#008000
1148,glp,#32CD32
1171,FDP,#4169E1
1172,FDP,#4169E1
1185,BDP,#800020
1186,BDP,#800020
1187,SP,#FF0000
1205,SVP,#006400
1219,Grüne,#008000
1226,CVP,#FFA500
1229,SP,#FF0000
1241,FDP,#4169E1
1243,glp,#32CD32
1260,SVP,#006400
1270,BDP,#800020
1275,Grüne,#008000
1276,Grüne,#008000
1281,Grüne,#008000
1284,BDP,#800020
1285,glp,#32CD32
1290,Grüne,#008000
1294,Grüne,#008000
1295,SVP,#006400
1300,FDP,#4169E1
1304,CVP,#FFA500
1305,CVP,#FFA500
1313,BDP,#800020
1314,SP,#FF0000
1315,SP,#FF0000
1316,SP,#FF0000
1319,SVP,#006400
1320,FDP,#4169E1
1321,FDP,#4169E1
1333,SVP,#006400
1351,FDP,#4169E1
1352,FDP,#4169E1
1364,FDP,#4169E1
1366,glp,#32CD32
1371,SVP,#006400
1374,SVP,#006400
1375,SVP,#006400
